ID	ww_ave_yield
456012068	2278.840968
456012072	2225.489355
456012077	2272.34129
456012081	2437
456012085	2814.858065
456012089	3038.042581
456012093	3866.626774
456012097	4166.599355
456012102	4284.630323
456012106	4276.397097
456012110	4081.290645
456411706	3125.294516
456411710	3141.933871
456411748	2737.575484
456411777	3858.752903
456411781	3873.542903
456411785	5636.736129
456411852	3663.204516
456411856	4404.463226
456411860	3563.307742
456411864	2920.821613
456411868	2418.607742
456411873	2172.721613
456411877	2020.332903
456411881	1806.979677
456411885	1679.576452
456411889	1586.602581
456411893	1609.725161
456411898	1455.100968
456411902	1515.825484
456411906	1398.867742
456411910	1340.105161
456411914	1383.532581
456411918	1333.813226
456411923	1219.84871
456411927	1146.782903
456411931	1257.253548
456411935	1016.10129
456411939	1009.023226
456411943	1017.872903
456411948	1034.424194
456411952	1525.949355
456411956	1478.697742
456411960	1427.863871
456411964	1348.676774
456411968	1312.360968
456411972	864.7770968
456411977	1309.600645
456411981	1292.441935
456411985	1282.619355
456411989	1319.373871
456411993	1336.370323
456411997	1370.570323
456412002	1521.117419
456412006	1546.252581
456412010	1638.718065
456412014	1849.813871
456412018	1469.59129
456412022	1600.377419
456412027	1610.98
456412031	1670.497742
456412035	1578.975484
456412039	1616.070968
456412043	1675.297419
456412047	1549.69129
456412052	1748.456129
456412056	2030.660323
456412060	2322.363871
456412064	2325.253548
456412068	2212.290968
456412072	2222.823226
456412077	2284.09129
456412081	2351.461935
456412085	2496.423226
456412093	3174.029032
456412097	2961.127742
456412102	3507.224194
456412106	3988.414194
456811623	4598.520323
456811631	2926.868065
456811635	3382.239355
456811706	2725.078065
456811710	2636.641613
456811714	3288.510323
456811785	5522.952903
456811789	5601.928065
456811848	3505.034839
456811852	3176.402903
456811856	2694.24871
456811860	3377.276129
456811864	3112.039355
456811868	2727.371935
456811873	2290.017419
456811877	2150.365806
456811881	1984.185806
456811885	1676.173871
456811889	1779.896452
456811893	1878.656774
456811898	1648.575161
456811902	1361.783548
456811906	1375.599032
456811910	1246.865484
456811914	1186.575484
456811918	1169.874194
456811927	2197.145161
456811931	2063.106774
456811935	2035.751613
456811939	916.1222581
456811943	1003.297419
456811948	1022.743871
456811952	901.6606452
456811956	1367.425806
456811960	1347.529355
456811964	1283.822581
456811968	1268.60871
456811977	1239.350645
456811997	1341.23871
456812002	1398.058065
456812006	1532.764839
456812018	1512.071613
456812022	1564.332903
456812027	1533.153871
456812031	1558.666129
456812035	1463.743226
456812039	1410.370645
456812043	1489.147742
456812047	1520.754839
456812052	1755.825161
456812056	2094.619032
456812060	2305.475806
456812064	2586.526452
456812068	2316.079677
456812072	2077.623548
456812077	2175.823871
456812081	1668.248065
456812089	3074.537097
456812093	3100.021613
456812097	3096.000968
456812102	2090.182258
457211623	4743.174194
457211627	4136.137419
457211789	5640.732258
457211839	7121.043871
457211843	3742.283548
457211848	6354.042903
457211852	5247.24871
457211856	4034.414516
457211860	3408.228065
457211864	3360.130968
457211868	3178.086452
457211873	2923.955806
457211877	2572.197742
457211881	2073.865806
457211885	1828.354839
457211889	1725.450968
457211893	1622.696774
457211898	1523.072258
457211902	1418.734839
457211906	1323.687742
457211910	1296.221935
457211914	1205.037742
457211918	997.4909677
457211927	2026.865484
457211935	1957.024839
457211939	875.803871
457211943	898.5864516
457211948	1409.955484
457211952	1259.735806
457211956	1244.804839
457211964	1781.016774
457211985	1785.761935
457211989	1792.129677
457212022	1282.676452
457212027	1376.333226
457212031	1413.008387
457212035	1454.646452
457212039	1724.568065
457212043	1867.37
457212047	2312.873226
457212052	2217.645161
457212056	2149.188387
457212060	2223.77
457212081	3070.842581
457212085	4173.932258
457212089	4128.26129
457212093	4089.585161
457212097	4067.325161
457212102	3383.034516
457212106	4480.126774
457711623	4774.032903
457711627	3992.929355
457711839	3536.223548
457711843	5874.398387
457711848	5340.467742
457711852	4729.782258
457711856	3856.997742
457711860	3748.915161
457711864	3746.46
457711868	3678.566774
457711873	3355.97129
457711877	2767.313871
457711881	2378.262581
457711885	2189.17871
457711889	2004.804516
457711893	1699.277742
457711898	1488.783871
457711902	1395.665484
457711906	1284.257419
457711910	1169.243226
457711914	1117.620645
457711918	2267.279677
457711923	917.7587097
457712031	1855.978387
457712035	1690.246452
457712039	2378.799032
457712047	3097.596774
457712052	1944.040968
457712060	2921.603226
457712064	2988.480323
457712068	3040.230645
457712072	4150.379677
457712077	3406.442903
457712081	4143.602581
457712085	4002.993226
457712089	4026.793871
457712093	3297.182903
457712097	3402.904194
457712102	3497.63
458111835	3815.549677
458111839	3217.382903
458111843	4473.720645
458111848	4565.739032
458111852	4647.575161
458111856	4664.980968
458111860	4252.213548
458111864	4353.900645
458111868	4337.295484
458111873	3445.448065
458111877	2891.253226
458111881	2574.125484
458111885	2359.658387
458111889	2240.186452
458111893	2046.204194
458111898	1680.976774
458111902	1439.494516
458111906	1257.453226
458111910	2450.192258
458111914	2252.994194
458111918	2231.194194
458112031	2646.986774
458112035	2826.862258
458112052	3099.332258
458112064	3350.21871
458112068	3379.203871
458112072	3362.384194
458112077	3303.416774
458112081	3228.322581
458112085	3199.671613
458112089	3208.986452
458112102	3270.161935
458511627	5194.859677
458511731	6242.679032
458511827	3928.343548
458511831	3704.273548
458511835	5495.762258
458511839	4542.699677
458511843	4705.67129
458511848	4886.987097
458511852	5485.933871
458511856	4873.147097
458511860	3520.474839
458511864	3748.914194
458511868	4312.437097
458511873	4312.434839
458511877	3499.83
458511881	3115.739355
458511885	2757.515161
458511889	2369.257419
458511893	2082.199355
458511898	1706.945806
458511902	1438.547742
458511906	1248.347419
458512031	2757.095161
458512035	2904.550645
458512085	3219.470323
458512089	3240.428065
458512093	3280.338387
458911614	7552.764516
458911618	6653.34871
458911623	5488.251935
458911627	5375.139032
458911631	4443.288065
458911727	5567.113226
458911731	5849.15129
458911735	5240.513548
458911823	4005.230645
458911827	3707.714839
458911831	5498.905484
458911835	4303.816452
458911839	3974.706774
458911843	4428.157097
458911848	4394.465161
458911852	5292.516452
458911856	5545.180968
458911860	5128.859677
458911864	4607.035806
458911868	4424.022581
458911873	4752.824516
458911877	4484.267742
458911881	3597.300968
458911885	3122.309355
458911889	2719.063871
458911893	2225.176452
458911898	1729.479355
458911902	1433.787097
458911906	1285.049032
458912010	1943.40129
458912027	2717.076774
458912035	2939.938387
459311606	6204.190968
459311610	6264.170968
459311614	6407.424194
459311618	6361.076129
459311623	5124.279677
459311627	5084.039355
459311631	4353.296774
459311635	3812.530968
459311639	3799.812903
459311718	3944.596452
459311723	4907.874839
459311727	5014.800968
459311731	5037.209677
459311735	5127.726129
459311739	4792.476774
459311743	2980.90129
459311823	4130.016452
459311827	6986.733871
459311831	4734.022258
459311835	3228.013871
459311839	3015.36
459311843	3100.82871
459311848	3023.896129
459311852	2903.36129
459311856	3320.630645
459311860	3540.609032
459311864	3988.955806
459311868	4660.788387
459311873	4847.441613
459311877	5298.096129
459311881	4212.341613
459311885	2784.130645
459311889	2474.519355
459311893	2189.879032
459311977	1885.769677
459311985	902.1951613
459311989	940.0419355
459311993	1069.257742
459311997	1108.635484
459312006	1581.447742
459312010	2205.261935
